47.8582 	EXP 	fixation: autoDraw = False
47.8582 	EXP 	grating: autoDraw = True
48.1584 	EXP 	grating: autoDraw = False
48.1605 	DATA 	Keypress: right
48.9290 	DATA 	Keypress: right
48.9415 	EXP 	fixation: autoDraw = False
48.9415 	EXP 	grating: autoDraw = False
48.9415 	EXP 	grating: ori = -18.0
48.9415 	EXP 	fixation: autoDraw = True
49.4408 	EXP 	fixation: autoDraw = False
49.4408 	EXP 	grating: autoDraw = True
49.7415 	EXP 	grating: autoDraw = False
49.8616 	DATA 	Keypress: right
49.8739 	EXP 	fixation: autoDraw = False
49.8739 	EXP 	grating: autoDraw = False
49.8739 	EXP 	grating: ori = 19.0
49.8739 	EXP 	fixation: autoDraw = True
50.3742 	EXP 	fixation: autoDraw = False
50.3742 	EXP 	grating: autoDraw = True
50.6743 	EXP 	grating: autoDraw = False
51.0119 	DATA 	Keypress: right
51.0239 	EXP 	fixation: autoDraw = False
51.0239 	EXP 	grating: autoDraw = False
51.0239 	EXP 	grating: ori = 19.0
51.0239 	EXP 	fixation: autoDraw = True
51.5242 	EXP 	fixation: autoDraw = False
51.5242 	EXP 	grating: autoDraw = True
51.8234 	EXP 	grating: autoDraw = False
52.7777 	DATA 	Keypress: right
52.7903 	EXP 	fixation: autoDraw = False
52.7903 	EXP 	grating: autoDraw = False
52.7903 	EXP 	grating: ori = 19.0
52.7903 	EXP 	fixation: autoDraw = True
53.2903 	EXP 	fixation: autoDraw = False
53.2903 	EXP 	grating: autoDraw = True
53.5900 	EXP 	grating: autoDraw = False
54.0602 	DATA 	Keypress: right
54.0727 	EXP 	fixation: autoDraw = False
54.0727 	EXP 	grating: autoDraw = False
54.0727 	EXP 	grating: ori = 18.0
54.0727 	EXP 	fixation: autoDraw = True
54.5727 	EXP 	fixation: autoDraw = False
54.5727 	EXP 	grating: autoDraw = True
54.8731 	EXP 	grating: autoDraw = False
55.2421 	DATA 	Keypress: right
55.2730 	EXP 	fixation: autoDraw = False
55.2730 	EXP 	grating: autoDraw = False
55.2730 	EXP 	grating: ori = 18.0
55.2730 	EXP 	fixation: autoDraw = True
55.7723 	EXP 	fixation: autoDraw = False
55.7723 	EXP 	grating: autoDraw = True
56.0722 	EXP 	grating: autoDraw = False
56.1103 	DATA 	Keypress: right
56.1227 	EXP 	fixation: autoDraw = False
56.1227 	EXP 	grating: autoDraw = False
56.1227 	EXP 	grating: ori = 18.0
56.1227 	EXP 	fixation: autoDraw = True
56.6217 	EXP 	fixation: autoDraw = False
56.6217 	EXP 	grating: autoDraw = True
56.7764 	DATA 	Keypress: right
56.7888 	EXP 	fixation: autoDraw = False
56.7888 	EXP 	grating: autoDraw = False
56.7888 	EXP 	grating: ori = -17.0
