stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
10,1,10.0,27.998719100000017,28.498479999999745,28.498479999999745,28.498479999999745,28.797926899999766,left,-10.0,0,0,0.8591956999998729,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
11,1,11.0,29.21456450000005,29.714520600000014,29.714520600000014,29.714520600000014,30.01441419999992,right,11.0,0,0,0.8619125000004715,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
12,1,12.0,30.43081660000007,30.9306517,30.9306517,30.9306517,31.230844100000013,left,-12.0,0,0,1.3651230999998916,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
13,1,13.0,32.16449710000006,32.663353299999926,32.663353299999926,32.663353299999926,32.96347539999988,left,-13.0,0,0,1.4762361000002784,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
14,1,14.0,33.9962059999998,34.49642079999967,34.49642079999967,34.49642079999967,34.79647410000007,right,14.0,1,1,0.861318200000369,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
15,1,14.0,35.212982199999715,35.712705899999946,35.712705899999946,35.712705899999946,36.012302499999805,right,14.0,1,1,0.5136756000001697,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
16,1,14.0,36.09560659999988,36.595934099999795,36.595934099999795,36.595934099999795,36.89540369999986,left,-14.0,0,0,0.5538711000003786,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
17,1,15.0,37.01190419999966,37.512134499999775,37.512134499999775,37.512134499999775,37.81209910000007,right,15.0,1,1,0.49402320000035616,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
18,1,15.0,37.86163179999994,38.361408199999914,38.361408199999914,38.361408199999914,38.6619268999998,right,15.0,1,1,2.3704641000003903,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
19,1,15.0,40.59354080000003,41.09400060000007,41.09400060000007,41.09400060000007,41.39360940000006,left,-15.0,0,0,2.9348700000000463,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
20,1,16.0,43.893426499999805,44.39300719999983,44.39300719999983,44.39300719999983,44.69292369999994,left,-16.0,0,0,0.8680753000003278,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
21,1,17.0,45.12585059999992,45.62524379999968,45.62524379999968,45.62524379999968,45.92528119999997,left,-17.0,0,0,1.8705516000004536,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
22,1,18.0,47.35874539999986,47.85818489999974,47.85818489999974,47.85818489999974,48.1583784999998,right,18.0,1,1,1.2228737000004912,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
23,1,18.0,48.94150790000003,49.44083009999986,49.44083009999986,49.44083009999986,49.74147670000002,left,-18.0,0,0,0.5790994000003593,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
24,1,19.0,49.87389510000003,50.37421839999979,50.37421839999979,50.37421839999979,50.67433879999999,right,19.0,1,1,0.7870146000004752,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
25,1,19.0,51.023936799999774,51.524167300000045,51.524167300000045,51.524167300000045,51.82335069999999,right,19.0,1,1,1.4051108000003296,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
26,1,19.0,52.79027659999974,53.29034939999974,53.29034939999974,53.29034939999974,53.58998780000002,right,19.0,1,1,0.9138298000002578,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
27,1,18.0,54.072668299999805,54.57273889999988,54.57273889999988,54.57273889999988,54.873054899999715,right,18.0,1,1,0.8296239000005698,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
28,1,18.0,55.2730217999997,55.772319199999856,55.772319199999856,55.772319199999856,56.0722452,right,18.0,1,1,0.4851424000003135,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
29,1,18.0,56.12273759999971,56.62171529999978,56.62171529999978,56.62171529999978,,right,18.0,1,1,0.29909790000010616,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
30,0.5,17.0,56.78882519999979,57.28871979999985,57.28871979999985,57.28871979999985,57.58856530000003,left,-17.0,0,0,0.5669474000001173,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
